epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.4720527231693268,61.73963165283203,0.515625,0.9764887690544128
1,0.565291702747345,0.897267758846283,0.62890625,0.8073441982269287
2,0.7010007500648499,0.6815678477287292,0.740234375,0.587576150894165
3,0.8437881469726562,0.4013620913028717,0.61328125,0.9001988768577576
4,0.8306077718734741,0.42676860094070435,0.8583984375,0.35488811135292053
5,0.9411764740943909,0.17723864316940308,0.8662109375,0.28197795152664185
6,0.9755918979644775,0.09395763278007507,0.9345703125,0.1697450578212738
7,0.9846228957176208,0.05971040204167366,0.9541015625,0.12569451332092285
8,0.9941420555114746,0.03191760927438736,0.962890625,0.11057457327842712
9,0.9995118379592896,0.014726349152624607,0.970703125,0.08909514546394348
